Entity,Year,Electricity-fossil-TWh,Electricity-nuclear-TWh,Electricity-renewables-TWh,Renewables-pc,Land-area-km2
Argentina,2000,50.37,5.99,28.89,12.283858,2780400.0
Argentina,2001,42.91,6.54,37.04,15.937488,2780400.0
Argentina,2002,39.7,5.39,36.06,16.249306,2780400.0
Argentina,2003,46.73,7.03,34.38,14.408259,2780400.0
Argentina,2004,57.35,7.31,31.03,12.1855755,2780400.0
Argentina,2005,59.89,6.37,34.6,12.788524,2780400.0
Argentina,2006,65.58,7.15,38.67,13.449462,2780400.0
Argentina,2007,72.95,6.72,31.18,10.599154,2780400.0
Argentina,2008,76.62,6.85,31.28,10.437064,2780400.0
Argentina,2009,74.01,7.59,34.7,11.783506,2780400.0
Argentina,2010,78.54,6.69,34.41,11.661375,2780400.0
Argentina,2011,84.43,5.89,32.43,10.929448,2780400.0
Argentina,2012,91.86,5.9,30.93,10.216426,2780400.0
Argentina,2013,91.55,5.73,35.03,10.950079,2780400.0
Argentina,2014,92.18,5.26,34.37,11.038978,2780400.0
Argentina,2015,97.18,6.64,33.97,10.907397,2780400.0
Argentina,2016,100.8,7.82,31.02,10.167007,2780400.0
Argentina,2017,99.4,5.77,33.4,10.964719,2780400.0
Argentina,2018,98.31,6.51,34.97,11.39763,2780400.0
Argentina,2019,90.56,7.97,34.63,11.926772,2780400.0
Argentina,2020,91.58,10.06,37.05,12.179417,2780400.0
Australia,2000,181.05,0.0,17.11,3.9888778,7741220.0
Australia,2001,194.33,0.0,17.4,3.870762,7741220.0
Australia,2002,197.29,0.0,17.35,3.9314504,7741220.0
Australia,2003,195.13,0.0,18.5,4.014969,7741220.0
Australia,2004,203.66,0.0,19.41,4.0365605,7741220.0
Australia,2005,195.95,0.0,19.75,4.3135533,7741220.0
Australia,2006,198.72,0.0,21.19,4.233413,7741220.0
Australia,2007,208.59,0.0,20.93,3.9767227,7741220.0
Australia,2008,211.06,0.0,18.49,3.6813264,7741220.0
Australia,2009,216.42,0.0,18.32,3.9202662,7741220.0
Australia,2010,212.5,0.0,21.13,4.3128047,7741220.0
Australia,2011,213.56,0.0,27.33,5.698981,7741220.0
Australia,2012,206.75,0.0,26.63,5.700209,7741220.0
Australia,2013,195.78,0.0,34.2,6.525869,7741220.0
Australia,2014,205.46,0.0,36.15,5.979823,7741220.0
Australia,2015,197.72,0.0,33.12,6.290021,7741220.0
